state_fips,county_fips,bus.bank,bank,time,adopt,NAME.x,pop,NAME.y,unemployment
39,39059,0,1,1,0,"Guernsey County, Ohio",38438,"Guernsey County, Ohio",5.0084507042253525
42,42091,0,1,1,11,"Montgomery County, Pennsylvania",856553,"Montgomery County, Pennsylvania",4.4832466071303
42,42077,0,1,1,11,"Lehigh County, Pennsylvania",374557,"Lehigh County, Pennsylvania",6.205591009916151
42,42101,1,0,1,11,"Philadelphia County, Pennsylvania",1603797,"Philadelphia County, Pennsylvania",8.789004353231446
39,39035,1,0,1,0,"Cuyahoga County, Ohio",1264817,"Cuyahoga County, Ohio",7.446165258397409
39,39041,1,0,1,0,"Delaware County, Ohio",214124,"Delaware County, Ohio",2.541060943325364
39,39061,1,0,1,0,"Hamilton County, Ohio",830639,"Hamilton County, Ohio",5.383129902889298
42,42003,1,0,1,11,"Allegheny County, Pennsylvania",1250578,"Allegheny County, Pennsylvania",4.857972420798872
26,26161,2,0,1,16,"Washtenaw County, Michigan",372258,"Washtenaw County, Michigan",4.542764505637358
39,39035,49,0,1,0,"Cuyahoga County, Ohio",1264817,"Cuyahoga County, Ohio",7.446165258397409
42,42003,23,0,1,11,"Allegheny County, Pennsylvania",1250578,"Allegheny County, Pennsylvania",4.857972420798872
42,42019,19,0,1,11,"Butler County, Pennsylvania",193763,"Butler County, Pennsylvania",4.583995760466348
42,42091,0,1,1,11,"Montgomery County, Pennsylvania",856553,"Montgomery County, Pennsylvania",4.4832466071303
42,42101,1,0,1,11,"Philadelphia County, Pennsylvania",1603797,"Philadelphia County, Pennsylvania",8.789004353231446
42,42103,0,1,1,11,"Pike County, Pennsylvania",58535,"Pike County, Pennsylvania",7.833148763381321
26,26125,1,0,1,16,"Oakland County, Michigan",1274395,"Oakland County, Michigan",4.659781959708985
39,39049,3,0,1,0,"Franklin County, Ohio",1323807,"Franklin County, Ohio",4.847732720804598
39,39089,0,1,1,0,"Licking County, Ohio",178519,"Licking County, Ohio",3.7285709416856956
39,39099,1,0,1,0,"Mahoning County, Ohio",228614,"Mahoning County, Ohio",7.91960401979901
42,42003,1,0,1,11,"Allegheny County, Pennsylvania",1250578,"Allegheny County, Pennsylvania",4.857972420798872
42,42029,8,0,1,11,"Chester County, Pennsylvania",534413,"Chester County, Pennsylvania",4.105560527100771
42,42041,12,0,1,11,"Cumberland County, Pennsylvania",259469,"Cumberland County, Pennsylvania",3.4586672145743442
42,42043,1,0,1,11,"Dauphin County, Pennsylvania",286401,"Dauphin County, Pennsylvania",4.35853626738577
42,42045,3,3,1,11,"Delaware County, Pennsylvania",576830,"Delaware County, Pennsylvania",6.185421849122642
42,42063,1,0,1,11,"Indiana County, Pennsylvania",83246,"Indiana County, Pennsylvania",7.208966199254507
42,42077,0,1,1,11,"Lehigh County, Pennsylvania",374557,"Lehigh County, Pennsylvania",6.205591009916151
42,42101,5,0,1,11,"Philadelphia County, Pennsylvania",1603797,"Philadelphia County, Pennsylvania",8.789004353231446
42,42011,0,1,1,11,"Berks County, Pennsylvania",428849,"Berks County, Pennsylvania",5.580697266849396
42,42045,0,1,1,11,"Delaware County, Pennsylvania",576830,"Delaware County, Pennsylvania",6.185421849122642
42,42077,1,0,1,11,"Lehigh County, Pennsylvania",374557,"Lehigh County, Pennsylvania",6.205591009916151
42,42079,0,2,1,11,"Luzerne County, Pennsylvania",325594,"Luzerne County, Pennsylvania",6.047516198704104
42,42089,0,2,1,11,"Monroe County, Pennsylvania",168327,"Monroe County, Pennsylvania",6.229243650311053
42,42095,0,1,1,11,"Northampton County, Pennsylvania",312951,"Northampton County, Pennsylvania",4.576575210954474
42,42101,0,2,1,11,"Philadelphia County, Pennsylvania",1603797,"Philadelphia County, Pennsylvania",8.789004353231446
42,42003,0,1,1,11,"Allegheny County, Pennsylvania",1250578,"Allegheny County, Pennsylvania",4.857972420798872
42,42011,26,833,1,11,"Berks County, Pennsylvania",428849,"Berks County, Pennsylvania",5.580697266849396
42,42017,45,1095,1,11,"Bucks County, Pennsylvania",646538,"Bucks County, Pennsylvania",4.165563676123612
42,42025,0,1,1,11,"Carbon County, Pennsylvania",64749,"Carbon County, Pennsylvania",5.119940494638319
42,42029,38,582,1,11,"Chester County, Pennsylvania",534413,"Chester County, Pennsylvania",4.105560527100771
42,42043,0,2,1,11,"Dauphin County, Pennsylvania",286401,"Dauphin County, Pennsylvania",4.35853626738577
42,42045,32,893,1,11,"Delaware County, Pennsylvania",576830,"Delaware County, Pennsylvania",6.185421849122642
42,42049,0,1,1,11,"Erie County, Pennsylvania",270876,"Erie County, Pennsylvania",5.412508943028204
42,42061,0,1,1,11,"Huntingdon County, Pennsylvania",44092,"Huntingdon County, Pennsylvania",5.377049180327869
42,42071,18,571,1,11,"Lancaster County, Pennsylvania",552984,"Lancaster County, Pennsylvania",3.61713889348577
42,42077,25,610,1,11,"Lehigh County, Pennsylvania",374557,"Lehigh County, Pennsylvania",6.205591009916151
42,42081,0,1,1,11,"Lycoming County, Pennsylvania",114188,"Lycoming County, Pennsylvania",5.076562781480814
42,42089,0,2,1,11,"Monroe County, Pennsylvania",168327,"Monroe County, Pennsylvania",6.229243650311053
42,42091,61,1089,1,11,"Montgomery County, Pennsylvania",856553,"Montgomery County, Pennsylvania",4.4832466071303
42,42095,12,561,1,11,"Northampton County, Pennsylvania",312951,"Northampton County, Pennsylvania",4.576575210954474
42,42101,66,2604,1,11,"Philadelphia County, Pennsylvania",1603797,"Philadelphia County, Pennsylvania",8.789004353231446
42,42125,0,1,1,11,"Washington County, Pennsylvania",209349,"Washington County, Pennsylvania",5.398508605290766
42,42001,3,165,1,11,"Adams County, Pennsylvania",103852,"Adams County, Pennsylvania",3.851503759398496
